year,stock,capture,effort
2012,Lobatus gigas,3626,292056
2012,Lutjanus synagris,1695,55092.4
2012,Ocyurus chrysurus,257,55092.42
2012,Panulirus argus,8394,17219
2013,Lobatus gigas,3060,292056
2013,Lutjanus synagris,1205,53666
2013,Ocyurus chrysurus,248,53666.027
2013,Panulirus argus,8568,17215
2014,Lobatus gigas,2152,292056
2014,Lutjanus synagris,1060,52710.2
2014,Ocyurus chrysurus,223,52710.223
2014,Panulirus argus,8458,16874
2015,Lobatus gigas,2349,292056
2015,Lutjanus synagris,1369,52710.2
2015,Ocyurus chrysurus,174,52710.223
2015,Panulirus argus,7805,16532
2016,Lobatus gigas,2776,292056
2016,Lutjanus synagris,1212,52710.2
2016,Ocyurus chrysurus,158,52710.223
2016,Panulirus argus,8006,16532
2017,Lobatus gigas,3032,292056
2017,Lutjanus synagris,924,52710.2
2017,Ocyurus chrysurus,170,52710.223
2017,Panulirus argus,7656,16532
2018,Lobatus gigas,4082,292056
2018,Lutjanus synagris,817,52710.2
2018,Ocyurus chrysurus,187,52710.223
2018,Panulirus argus,8263,16532
2019,Lobatus gigas,4288,292056
2019,Lutjanus synagris,971.8,52710.2
2019,Ocyurus chrysurus,172,52710.223
2019,Panulirus argus,6883.8,16532
